[WARN ] 2020-03-21 18:32:37.109 [http-nio-8080-exec-3] businessLogger - ReimbursmentListCommand: data retrieved by user: User [id=3, username=bugsBunny, firstName=Bugs, lastName=Bunny, email=bugs@gmail.com, role=UserRole [id=1, role=Employee]] with parameters- filter by user: User [id=3, username=bugsBunny, firstName=Bugs, lastName=Bunny, email=bugs@gmail.com, role=UserRole [id=1, role=Employee]] limit: 10 offset: 10 status: ReimbursmentStatus [id=2, status=Approved]
[WARN ] 2020-03-21 18:33:53.963 [http-nio-8080-exec-7] businessLogger - ReimbursmentListCommand: data retrieved by user: User [id=3, username=bugsBunny, firstName=Bugs, lastName=Bunny, email=bugs@gmail.com, role=UserRole [id=1, role=Employee]] with parameters- filter by user: User [id=3, username=bugsBunny, firstName=Bugs, lastName=Bunny, email=bugs@gmail.com, role=UserRole [id=1, role=Employee]] limit: 10 offset: 10 status: ReimbursmentStatus [id=2, status=Approved]
[WARN ] 2020-03-21 18:37:59.748 [http-nio-8080-exec-5] businessLogger - ReimbursmentListCommand: data retrieved by user: User [id=3, username=bugsBunny, firstName=Bugs, lastName=Bunny, email=bugs@gmail.com, role=UserRole [id=1, role=Employee]] with parameters- filter by user: User [id=3, username=bugsBunny, firstName=Bugs, lastName=Bunny, email=bugs@gmail.com, role=UserRole [id=1, role=Employee]] limit: 10 offset: 10 status: ReimbursmentStatus [id=2, status=Approved]
[WARN ] 2020-03-21 18:38:58.235 [http-nio-8080-exec-7] businessLogger - ReimbursmentListCommand: data retrieved by user: User [id=3, username=bugsBunny, firstName=Bugs, lastName=Bunny, email=bugs@gmail.com, role=UserRole [id=1, role=Employee]] with parameters- filter by user: User [id=3, username=bugsBunny, firstName=Bugs, lastName=Bunny, email=bugs@gmail.com, role=UserRole [id=1, role=Employee]] limit: 10 offset: 10 status: ReimbursmentStatus [id=2, status=Approved]
[WARN ] 2020-03-21 18:39:09.081 [http-nio-8080-exec-9] businessLogger - ReimbursmentListCommand: data retrieved by user: User [id=3, username=bugsBunny, firstName=Bugs, lastName=Bunny, email=bugs@gmail.com, role=UserRole [id=1, role=Employee]] with parameters- filter by user: User [id=3, username=bugsBunny, firstName=Bugs, lastName=Bunny, email=bugs@gmail.com, role=UserRole [id=1, role=Employee]] limit: 10 offset: 10 status: ReimbursmentStatus [id=2, status=Approved]
[WARN ] 2020-03-21 18:42:50.235 [http-nio-8080-exec-3] businessLogger - ReimbursmentListCommand: data retrieved by user: User [id=3, username=bugsBunny, firstName=Bugs, lastName=Bunny, email=bugs@gmail.com, role=UserRole [id=1, role=Employee]] with parameters- filter by user: User [id=3, username=bugsBunny, firstName=Bugs, lastName=Bunny, email=bugs@gmail.com, role=UserRole [id=1, role=Employee]] limit: 10 offset: 10 status: ReimbursmentStatus [id=2, status=Approved]
[WARN ] 2020-03-21 18:44:09.696 [http-nio-8080-exec-6] businessLogger - ReimbursmentListCommand: data retrieved by user: User [id=3, username=bugsBunny, firstName=Bugs, lastName=Bunny, email=bugs@gmail.com, role=UserRole [id=1, role=Employee]] with parameters- filter by user: User [id=3, username=bugsBunny, firstName=Bugs, lastName=Bunny, email=bugs@gmail.com, role=UserRole [id=1, role=Employee]] limit: 10 offset: 10 status: ReimbursmentStatus [id=2, status=Approved]
[WARN ] 2020-03-21 18:46:57.457 [http-nio-8080-exec-8] businessLogger - ReimbursmentListCommand: data retrieved by user: User [id=3, username=bugsBunny, firstName=Bugs, lastName=Bunny, email=bugs@gmail.com, role=UserRole [id=1, role=Employee]] with parameters- filter by user: User [id=3, username=bugsBunny, firstName=Bugs, lastName=Bunny, email=bugs@gmail.com, role=UserRole [id=1, role=Employee]] limit: 10 offset: 10 status: ReimbursmentStatus [id=2, status=Approved]
[WARN ] 2020-03-21 18:54:40.177 [http-nio-8080-exec-1] businessLogger - ReimbursmentListCommand: data retrieved by user: User [id=3, username=bugsBunny, firstName=Bugs, lastName=Bunny, email=bugs@gmail.com, role=UserRole [id=1, role=Employee]] with parameters- filter by user: User [id=3, username=bugsBunny, firstName=Bugs, lastName=Bunny, email=bugs@gmail.com, role=UserRole [id=1, role=Employee]] limit: 10 offset: 10 status: ReimbursmentStatus [id=2, status=Approved]
[WARN ] 2020-03-21 20:20:41.169 [http-nio-8080-exec-4] businessLogger - ReimbursmentListCommand: data retrieved by user: User [id=3, username=bugsBunny, firstName=Bugs, lastName=Bunny, email=bugs@gmail.com, role=UserRole [id=1, role=Employee]] with parameters- filter by user: User [id=3, username=bugsBunny, firstName=Bugs, lastName=Bunny, email=bugs@gmail.com, role=UserRole [id=1, role=Employee]] limit: 10 offset: 10 status: ReimbursmentStatus [id=2, status=Approved]
[WARN ] 2020-03-21 20:21:47.214 [http-nio-8080-exec-2] businessLogger - ReimbursmentListCommand: data retrieved by user: User [id=3, username=bugsBunny, firstName=Bugs, lastName=Bunny, email=bugs@gmail.com, role=UserRole [id=1, role=Employee]] with parameters- filter by user: User [id=3, username=bugsBunny, firstName=Bugs, lastName=Bunny, email=bugs@gmail.com, role=UserRole [id=1, role=Employee]] limit: 10 offset: 10 status: ReimbursmentStatus [id=2, status=Approved]
